Numbers are in percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Biological sciences,Computer sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Engineering   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4.87,5.31,3.77,4.13,6.26,6.25,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,5.14,5.24,4.26,4.39,6.82,6.60,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,5.28,5.23,4.40,4.32,7.07,7.16,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5.77,5.31,4.99,4.66,7.40,7.37,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6.11,5.74,5.11,5.42,8.21,7.87,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6.49,5.50,5.46,5.67,8.33,7.83,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6.36,5.58,5.48,5.56,8.66,8.08,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6.80,6.20,5.22,5.43,8.63,8.16,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6.46,6.27,4.94,5.61,8.82,8.16,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6.50,6.46,5.54,5.74,8.96,8.55,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6.35,6.98,5.75,5.56,9.30,8.63,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6.42,6.97,6.08,5.54,9.40,9.13,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6.93,7.51,5.83,5.98,9.55,9.38,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7.02,7.79,6.03,6.18,10.15,9.55,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,7.38,7.79,5.97,6.06,10.65,10.01,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7.73,8.12,6.39,6.30,11.49,10.57,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,8.24,8.78,6.44,6.66,12.17,11.33,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,8.99,9.15,6.97,7.34,13.34,12.43,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9.78,9.74,7.90,8.02,14.85,13.23,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Hispanic may be any race.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
